OrderID,Date,Region,Product,SalesRep,Units,UnitPrice,Revenue
1086.0,03-05-2026, East ,Widget A,R. Patel,1.0,29.99,
1007.0,25/01/2026,East,Widget C,L. Garcia,2.0,,
1029.0,02-21-2026,SOUTH,Widget C,R. Patel,10.0,19.99,
1013.0,2026-04-29,West,Widget C,L. Garcia,1.0,19.99,
1030.0,13/05/2026,West,Widget A,A. Khan,1.0,,
1067.0,01-28-2026,West,Widget A,R. Patel,1.0,9.99,
1019.0,2026-02-09,SOUTH,Widget B,R. Patel,5.0,,
1045.0,2026-03-22,North,Widget A,L. Garcia,3.0,49.99,
1006.0,13/03/2026,South,Widget B,M. Chen,,,
1136.0,01-26-2026, East ,Widget B,A. Khan,2.0,,
1003.0,09/01/2026,North,Widget A,A. Khan,1.0,49.99,
1173.0,15/01/2026,East,Widget C,M. Chen,3.0,9.99,
1004.0,01-07-2026,north,Widget B,L. Garcia,3.0,9.99,
1129.0,2026-01-14,north,Widget C,A. Khan,10.0,29.99,
1094.0,2026-02-22, East ,Widget D,R. Patel,-1.0,49.99,
1015.0,2026-02-24,north,Widget B ,M. Chen,1.0,29.99,
1090.0,03/03/2026,East,Widget D,J. Smith,10.0,19.99,
1103.0,21/01/2026,West,Widget A,L. Garcia,,19.99,
1192.0,07/01/2026,north,widget a,M. Chen,5.0,9.99,
1155.0,03-03-2026,SOUTH,Widget B,M. Chen,5.0,,
1114.0,15/02/2026,SOUTH,widget a,M. Chen,5.0,49.99,
1169.0,01-21-2026, East ,Widget C,L. Garcia,3.0,19.99,
1085.0,2026-04-19,South,Widget B,L. Garcia,3.0,,
1199.0,04-02-2026,North,Widget D,M. Chen,1.0,,
1107.0,03-07-2026, East ,Widget C,A. Khan,5.0,49.99,
1132.0,06/05/2026,North,widget a,J. Smith,1.0,9.99,
1154.0,2026-03-15,West,Widget B ,R. Patel,,,
1072.0,03-22-2026,West,widget a,L. Garcia,,29.99,
1102.0,28/03/2026, East ,Widget D,M. Chen,-1.0,29.99,
1010.0,21/01/2026, East ,Widget B,J. Smith,3.0,19.99,
1078.0,14/04/2026,north,Widget A,M. Chen,2.0,9.99,
1046.0,02-10-2026,North,widget a,J. Smith,-1.0,9.99,
1198.0,02/03/2026, East ,Widget C,J. Smith,10.0,19.99,
1170.0,05-05-2026, East ,widget a,J. Smith,5.0,,
,,,,,,,
1183.0,2026-04-01,South,Widget B ,A. Khan,5.0,19.99,
1049.0,05-30-2026,north,widget a,M. Chen,2.0,9.99,
1043.0,19/04/2026,SOUTH,Widget B ,L. Garcia,10.0,29.99,
1156.0,04-15-2026,North,Widget B,J. Smith,3.0,,
1182.0,01-13-2026,north,Widget B ,R. Patel,-1.0,19.99,
1058.0,05-06-2026,East,Widget A,J. Smith,10.0,29.99,
1059.0,12/01/2026,North,Widget C,A. Khan,10.0,19.99,
1134.0,02-27-2026, East ,widget a,R. Patel,3.0,29.99,
1112.0,04-05-2026,North,widget a,M. Chen,,29.99,
1181.0,03-17-2026,North,Widget B ,R. Patel,2.0,,
1116.0,2026-01-23,East,Widget D,A. Khan,-1.0,29.99,
1123.0,05-16-2026,East,Widget D,L. Garcia,2.0,19.99,
1012.0,01-19-2026,north,Widget B ,A. Khan,5.0,9.99,
1187.0,16/05/2026,north,Widget C,A. Khan,2.0,29.99,
1110.0,2026-03-04,North,Widget B ,M. Chen,-1.0,49.99,
1113.0,28/01/2026,West,Widget C,R. Patel,10.0,9.99,
1012.0,01-19-2026,north,Widget B ,A. Khan,5.0,9.99,
1152.0,16/04/2026,North,Widget B,L. Garcia,2.0,49.99,
1009.0,03/04/2026,north,Widget B,J. Smith,,9.99,
1194.0,2026-02-05,North,Widget A,M. Chen,3.0,,
1165.0,04-08-2026,West,Widget B ,A. Khan,3.0,,
1121.0,05-06-2026,West,Widget A,J. Smith,2.0,9.99,
1195.0,2026-03-02,north,Widget B,R. Patel,3.0,19.99,
1144.0,2026-01-11,West,Widget B ,M. Chen,5.0,19.99,
1189.0,2026-04-12, East ,widget a,M. Chen,,29.99,
1160.0,17/04/2026,East,widget a,M. Chen,-1.0,,
1022.0,2026-03-17,West,Widget B,R. Patel,,19.99,
1140.0,31/05/2026,SOUTH,Widget B,R. Patel,,49.99,
1162.0,2026-04-25,north,Widget D,M. Chen,2.0,49.99,
1184.0,02-05-2026,SOUTH,Widget A,J. Smith,2.0,29.99,
1095.0,01-06-2026, East ,widget a,R. Patel,3.0,,
1079.0,29/05/2026,north,Widget B ,M. Chen,3.0,29.99,
1041.0,2026-04-15,West,Widget D,A. Khan,-1.0,29.99,
1135.0,31/05/2026,West,Widget C,L. Garcia,5.0,,
1185.0,2026-05-29,East,Widget B ,A. Khan,,19.99,
1145.0,2026-01-24,South,Widget B ,L. Garcia,5.0,,
1115.0,30/04/2026,West,Widget B ,L. Garcia,2.0,19.99,
1193.0,01-17-2026,SOUTH,Widget D,M. Chen,10.0,29.99,
1164.0,04-09-2026,South,Widget D,J. Smith,2.0,29.99,
1092.0,2026-03-01,West,Widget B ,A. Khan,10.0,9.99,
1080.0,24/02/2026,north,Widget D,A. Khan,10.0,,
1002.0,2026-01-27,SOUTH,Widget B ,L. Garcia,,49.99,
1083.0,2026-05-02,north,Widget A,R. Patel,3.0,49.99,
1176.0,2026-03-01,West,Widget B ,M. Chen,3.0,19.99,
1019.0,2026-02-09,SOUTH,Widget B,R. Patel,5.0,,
1200.0,24/01/2026,SOUTH,Widget B,L. Garcia,,,
1179.0,03-06-2026,West,Widget C,A. Khan,3.0,29.99,
1166.0,2026-05-09,north,Widget C,J. Smith,-1.0,29.99,
1005.0,31/05/2026,East,Widget A,A. Khan,10.0,29.99,
1131.0,17/02/2026,North,Widget C,R. Patel,,,
1037.0,01-26-2026,North,Widget D,M. Chen,-1.0,,
1093.0,2026-04-17,West,Widget C,L. Garcia,3.0,29.99,
,,,,,,,
1190.0,2026-03-09,north,Widget A,R. Patel,2.0,19.99,
1157.0,02-09-2026,West,Widget B ,M. Chen,5.0,19.99,
1063.0,11/01/2026,East,Widget B,A. Khan,10.0,,
1001.0,01-29-2026,North,Widget B ,M. Chen,1.0,9.99,
1028.0,02-12-2026,East,widget a,L. Garcia,3.0,9.99,
1101.0,2026-01-13,East,Widget D,M. Chen,1.0,29.99,
1177.0,01-03-2026, East ,Widget D,M. Chen,10.0,49.99,
1175.0,2026-04-08,north,Widget B ,A. Khan,3.0,49.99,
1161.0,18/03/2026, East ,widget a,L. Garcia,10.0,29.99,
1018.0,26/02/2026,South,widget a,R. Patel,,,
1060.0,2026-04-24,north,Widget B ,R. Patel,5.0,,
1153.0,24/04/2026, East ,Widget A,A. Khan,2.0,49.99,
1142.0,26/05/2026,East,Widget D,J. Smith,3.0,19.99,
1124.0,04-27-2026,East,Widget C,M. Chen,1.0,,
1056.0,2026-01-28,SOUTH,widget a,A. Khan,2.0,19.99,
1017.0,03-09-2026,SOUTH,widget a,R. Patel,5.0,29.99,
1180.0,2026-03-02,West,widget a,M. Chen,5.0,19.99,
1111.0,2026-05-25, East ,Widget A,M. Chen,5.0,29.99,
1088.0,05-10-2026,West,widget a,R. Patel,1.0,29.99,
1098.0,2026-04-10,East,Widget B ,R. Patel,10.0,9.99,
1126.0,2026-02-25,SOUTH,Widget D,M. Chen,10.0,49.99,
1062.0,05-22-2026,South,Widget D,A. Khan,,19.99,
1082.0,2026-03-21,South,Widget B,A. Khan,,,
1069.0,26/03/2026,East,Widget A,M. Chen,2.0,49.99,
1130.0,2026-01-04,north,Widget C,R. Patel,3.0,29.99,
1057.0,02-23-2026,SOUTH,Widget C,A. Khan,10.0,19.99,
1020.0,08/04/2026,north,Widget D,L. Garcia,2.0,49.99,
1087.0,05-16-2026,north,widget a,M. Chen,-1.0,29.99,
1071.0,03-09-2026,North,Widget A,L. Garcia,3.0,19.99,
1138.0,26/04/2026,SOUTH,widget a,R. Patel,2.0,,
1061.0,2026-01-20,SOUTH,Widget B,L. Garcia,,19.99,
1035.0,2026-05-02, East ,Widget D,A. Khan,,,
1041.0,2026-04-15,West,Widget D,A. Khan,-1.0,29.99,
1139.0,2026-03-15,SOUTH,Widget C,R. Patel,,9.99,
1077.0,2026-04-18,SOUTH,Widget D,A. Khan,5.0,49.99,
1172.0,01-26-2026,West,Widget B,M. Chen,,,
1027.0,2026-05-17, East ,Widget B,A. Khan,10.0,29.99,
1033.0,2026-03-26,North,widget a,A. Khan,2.0,29.99,
,,,,,,,
1097.0,02-26-2026,West,Widget B,M. Chen,3.0,29.99,
1084.0,2026-04-09,West,Widget D,A. Khan,1.0,,
1111.0,2026-05-25, East ,Widget A,M. Chen,5.0,29.99,
1106.0,2026-05-02,SOUTH,Widget A,L. Garcia,1.0,29.99,
1074.0,02-20-2026,East,Widget D,J. Smith,10.0,19.99,
1118.0,2026-05-05,South,Widget C,M. Chen,2.0,19.99,
1151.0,2026-04-14, East ,widget a,J. Smith,10.0,49.99,
1146.0,03-10-2026,north,Widget A,A. Khan,3.0,49.99,
1174.0,2026-05-16,West,widget a,A. Khan,1.0,9.99,
,,,,,,,
1137.0,2026-03-03,South,widget a,J. Smith,1.0,,
1040.0,2026-01-13,SOUTH,widget a,J. Smith,,9.99,
1050.0,03-22-2026,South,Widget C,R. Patel,1.0,19.99,
1199.0,04-02-2026,North,Widget D,M. Chen,1.0,,
1133.0,03-19-2026,North,Widget B,J. Smith,5.0,29.99,
1051.0,22/03/2026, East ,Widget A,J. Smith,3.0,49.99,
1053.0,2026-03-31,North,Widget B,M. Chen,2.0,9.99,
1081.0,12/05/2026,SOUTH,Widget B ,L. Garcia,2.0,,
1185.0,2026-05-29,East,Widget B ,A. Khan,,19.99,
1122.0,04/03/2026,East,Widget B ,L. Garcia,2.0,29.99,
1030.0,13/05/2026,West,Widget A,A. Khan,1.0,,
1047.0,2026-01-18,SOUTH,Widget B,R. Patel,,49.99,
1089.0,08/03/2026, East ,Widget B,M. Chen,-1.0,49.99,
1070.0,18/05/2026,East,Widget A,J. Smith,2.0,9.99,
1068.0,31/03/2026,East,Widget B,A. Khan,,9.99,
1035.0,2026-05-02, East ,Widget D,A. Khan,,,
1059.0,12/01/2026,North,Widget C,A. Khan,10.0,19.99,
1034.0,2026-05-19,South,Widget B ,L. Garcia,5.0,29.99,
1039.0,2026-03-13,West,Widget B,J. Smith,3.0,49.99,
1104.0,2026-01-18, East ,Widget B ,J. Smith,-1.0,,
1052.0,01-26-2026,North,widget a,A. Khan,5.0,19.99,
1108.0,01-30-2026, East ,Widget B,M. Chen,,49.99,
1171.0,2026-03-15,South,Widget B ,J. Smith,3.0,,
1005.0,31/05/2026,East,Widget A,A. Khan,10.0,29.99,
1103.0,21/01/2026,West,Widget A,L. Garcia,,19.99,
1196.0,05-19-2026,West,widget a,A. Khan,3.0,,
1168.0,2026-05-01, East ,Widget C,M. Chen,5.0,29.99,
1038.0,2026-02-19,South,widget a,R. Patel,1.0,29.99,
1117.0,04-08-2026,East,Widget A,R. Patel,-1.0,19.99,
1125.0,02-19-2026,East,Widget A,L. Garcia,-1.0,9.99,
1149.0,2026-03-26,West,Widget B ,R. Patel,2.0,29.99,
1032.0,2026-01-19,SOUTH,Widget B ,J. Smith,1.0,,
1064.0,24/05/2026, East ,Widget D,L. Garcia,10.0,9.99,
1048.0,2026-05-29,north,Widget A,L. Garcia,,29.99,
1090.0,03/03/2026,East,Widget D,J. Smith,10.0,19.99,
1096.0,18/03/2026, East ,Widget D,R. Patel,5.0,49.99,
1178.0,2026-01-19,West,Widget C,L. Garcia,2.0,29.99,
1163.0,04-07-2026,West,Widget C,A. Khan,10.0,9.99,
1008.0,04-28-2026,north,Widget A,R. Patel,,49.99,
1105.0,2026-02-21, East ,Widget A,L. Garcia,1.0,9.99,
1076.0,04-15-2026,East,Widget D,M. Chen,5.0,9.99,
1172.0,01-26-2026,West,Widget B,M. Chen,,,
1044.0,2026-02-18,East,Widget B,J. Smith,5.0,49.99,
1023.0,02-15-2026,north,Widget A,M. Chen,-1.0,49.99,
1073.0,02-18-2026,East,Widget A,R. Patel,,49.99,
1016.0,28/04/2026,South,Widget C,A. Khan,1.0,49.99,
1169.0,01-21-2026, East ,Widget C,L. Garcia,3.0,19.99,
